"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P15-01"	1.5			
"T1-P15-02"	4.5			
"T1-P15-03"	7.5			
"T1-P15-04"	10.5	-40.64	-326.6	-1.5
"T1-P15-05"	13.5	-40.91	-329.7	-2.5
"T1-P15-06"	16.5	-45.61	-361	3.9
"T1-P15-07"	19.5	-53.15	-413.6	11.6
"T1-P15-08"	22.5	-51.6	-400.4	12.4
"T1-P15-09"	25.5	-45.64	-357.3	7.8
"T1-P15-10"	28.5	-40.49	-318.8	5.1
"T1-P15-11"	31.5	-39.87	-321.7	-2.7
"T1-P15-12"	34.5	-43.14	-350.4	-5.3
"T1-P15-13"	37.5	-45.5	-364.5	-0.5
"T1-P15-14"	40.5	-47.45	-375.7	3.9
"T1-P15-15"	43.5	-47.37	-373.4	5.6
"T1-P15-16"	46.5	-44.02	-342.6	9.6
"T1-P15-17"	49.5	-42.74	-329.8	12.1
"T1-P15-18"	52.5	-42.71	-333.9	7.7
"T1-P15-19"	55.5	-43.3	-340.7	5.7
"T1-P15-20"	58.5	-46.67	-366	7.3
"T1-P15-21"	61.5	-48.42	-377.2	10.2
"T1-P15-22"	64.5	-47.35	-367.4	11.3
"T1-P15-23"	67.5	-45.07	-348.2	12.4
"T1-P15-24"	70.5	-42.9	-336.2	7
"T1-P15-25"	73.5	-42	-332.8	3.3
"T1-P15-26"	76.5	-42.19	-330.5	7
"T1-P15-27"	79.5	-41.79	-323	11.3
"T1-P15-28"	82.5	-41.84	-322.3	12.3
"T1-P15-29"	85.5	-42.58	-330.1	10.5
"T1-P15-30"	88.5	-43.16	-335.5	9.8
"T1-P15-31"	91.5	-42.93	-334.7	8.8
"T1-P15-32"	94.5	-41.77	-328.9	5.3
"T1-P15-33"	97.5	-40.55	-320.7	3.7
"T1-P15-34"	100.5	-42.11	-334.7	2.2
"T1-P15-35"	103.5	-45.53	-362.4	1.8
"T1-P15-36"	106.5	-48.18	-381.8	3.6
"T1-P15-37"	109.5	-48.96	-386.4	5.3
"T1-P15-38"	112.5	-49.13	-386.6	6.4
