"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P09-01"	1.5			
"T1-P09-02"	4.5			
"T1-P09-03"	7.5	-43.79	-351.2	-0.9
"T1-P09-04"	10.5	-50.08	-395	5.6
"T1-P09-05"	13.5	-49.49	-387.8	8.2
"T1-P09-06"	16.5	-48.17	-380.6	4.8
"T1-P09-07"	19.5	-47.53	-376.7	3.5
"T1-P09-08"	22.5	-46.55	-364.7	7.7
"T1-P09-09"	25.5	-46.25	-360.3	9.7
"T1-P09-10"	28.5	-43.31	-339.1	7.4
"T1-P09-11"	31.5	-41.34	-329.4	1.3
"T1-P09-12"	34.5	-46.51	-369.4	2.7
"T1-P09-13"	37.5	-47.8	-375.8	6.6
"T1-P09-14"	40.5	-47.79	-376.4	6
"T1-P09-15"	43.5	-46.76	-368.1	6
"T1-P09-16"	46.5	-44.68	-351.2	6.2
"T1-P09-17"	49.5	-42.21	-332.8	4.9
"T1-P09-18"	52.5	-38.43	-305.3	2.2
"T1-P09-19"	55.5	-39.27	-315.4	-1.2
"T1-P09-20"	58.5	-43.25	-344.6	1.4
"T1-P09-21"	61.5	-44.79	-352.5	5.8
"T1-P09-22"	64.5	-43.2	-336.1	9.5
"T1-P09-23"	67.5	-42.13	-327.3	9.7
"T1-P09-24"	70.5	-41.33	-321.2	9.5
"T1-P09-25"	73.5	-41.41	-322.7	8.6
"T1-P09-26"	76.5	-40.88	-317.1	10
"T1-P09-27"	79.5	-40.72	-312.8	12.9
"T1-P09-28"	82.5	-41.11	-315.6	13.3
"T1-P09-29"	85.5	-41.47	-319	12.7
"T1-P09-30"	88.5	-42.36	-328.6	10.3
"T1-P09-31"	91.5	-43.82	-342.8	7.8
"T1-P09-32"	94.5	-42.69	-335.8	5.7
"T1-P09-33"	97.5	-41.68	-330.9	2.6
"T1-P09-34"	100.5	-42.27	-335.7	2.5
"T1-P09-35"	103.5	-45.45	-359.8	3.9
"T1-P09-36"	106.5	-48.36	-381.3	5.6
"T1-P09-37"	109.5	-49.71	-389.9	7.8
"T1-P09-38"	112.5	-48.91	-383.9	7.4
