"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P07-01"	1.5			
"T1-P07-02"	4.5	-40.14	-321.1	0.1
"T1-P07-03"	7.5	-45.63	-361.2	3.8
"T1-P07-04"	10.5	-50.88	-401.4	5.6
"T1-P07-05"	13.5	-50.18	-391.8	9.7
"T1-P07-06"	16.5	-48.57	-382.3	6.3
"T1-P07-07"	19.5	-47.33	-372.5	6.1
"T1-P07-08"	22.5	-46.49	-361.3	10.6
"T1-P07-09"	25.5	-46.31	-360.7	9.8
"T1-P07-10"	28.5	-41.79	-327.5	6.9
"T1-P07-11"	31.5	-42.6	-338.2	2.7
"T1-P07-12"	34.5	-46.86	-371.7	3.1
"T1-P07-13"	37.5	-47.88	-376.6	6.5
"T1-P07-14"	40.5	-48.08	-378.2	6.4
"T1-P07-15"	43.5	-46.84	-368.1	6.6
"T1-P07-16"	46.5	-44.45	-347.1	8.5
"T1-P07-17"	49.5	-40.18	-316.4	5
"T1-P07-18"	52.5	-37.25	-295	2.9
"T1-P07-19"	55.5	-37.45	-298	1.6
"T1-P07-20"	58.5	-38.94	-311.5	0.1
"T1-P07-21"	61.5	-42.33	-333.6	5
"T1-P07-22"	64.5	-42.5	-331.7	8.3
"T1-P07-23"	67.5	-41.62	-323.4	9.6
"T1-P07-24"	70.5	-40.36	-315.1	7.8
"T1-P07-25"	73.5	-40.34	-315.9	6.8
"T1-P07-26"	76.5	-40.07	-308.9	11.7
"T1-P07-27"	79.5	-40.36	-309.7	13.2
"T1-P07-28"	82.5	-40.95	-316.3	11.3
"T1-P07-29"	85.5	-41.71	-320.9	12.8
"T1-P07-30"	88.5	-42.81	-332.4	10
"T1-P07-31"	91.5	-43.02	-335.4	8.8
"T1-P07-32"	94.5	-41.51	-328	4.1
"T1-P07-33"	97.5	-41.69	-331.9	1.7
"T1-P07-34"	100.5	-43.5	-345.2	2.8
"T1-P07-35"	103.5	-46.7	-369.1	4.5
"T1-P07-36"	106.5	-48.24	-380.7	5.3
"T1-P07-37"	109.5	-48.04	-376.6	7.7
"T1-P07-38"	112.5	-45.8	-357.8	8.6
