"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P02-01"	1.5			
"T1-P02-02"	4.5			
"T1-P02-03"	7.5	-43.78	-349.6	0.6
"T1-P02-04"	10.5	-49.19	-384.2	9.3
"T1-P02-05"	13.5	-48.95	-383.4	8.2
"T1-P02-06"	16.5	-47.25	-372.8	5.2
"T1-P02-07"	19.5	-46.42	-362.1	9.3
"T1-P02-08"	22.5	-46.17	-360	9.3
"T1-P02-09"	25.5	-44.44	-348.3	7.2
"T1-P02-10"	28.5	-39.51	-313.7	2.4
"T1-P02-11"	31.5	-43.04	-345.8	-1.5
"T1-P02-12"	34.5	-46.53	-369.3	2.9
"T1-P02-13"	37.5	-47.69	-376.4	5.1
"T1-P02-14"	40.5	-48.1	-378.3	6.4
"T1-P02-15"	43.5	-46.42	-360.2	11.2
"T1-P02-16"	46.5	-44.04	-344.1	8.2
"T1-P02-17"	49.5	-40.3	-314	8.4
"T1-P02-18"	52.5	-39.47	-310.6	5.2
"T1-P02-19"	55.5	-41.26	-327	3.1
"T1-P02-20"	58.5	-43.04	-341.4	2.9
"T1-P02-21"	61.5	-46.28	-364	6.2
"T1-P02-22"	64.5	-46.21	-361.6	8.1
"T1-P02-23"	67.5	-43.56	-338.9	9.6
"T1-P02-24"	70.5	-42.17	-328.3	9.1
"T1-P02-25"	73.5	-40.89	-317.2	9.9
"T1-P02-26"	76.5	-40.62	-315.7	9.2
"T1-P02-27"	79.5	-40.25	-311.3	10.7
"T1-P02-28"	82.5	-40.46	-310.6	13.1
"T1-P02-29"	85.5	-40.88	-314.8	12.3
"T1-P02-30"	88.5	-41.44	-319.7	11.8
"T1-P02-31"	91.5	-42.28	-329.2	9.1
"T1-P02-32"	94.5	-42.3	-332.9	5.4
"T1-P02-33"	97.5	-41.52	-328.8	3.4
"T1-P02-34"	100.5	-42.9	-341.9	1.4
"T1-P02-35"	103.5	-46.02	-365.3	2.8
"T1-P02-36"	106.5	-47.9	-375.7	7.6
"T1-P02-37"	109.5	-47.82	-374.1	8.4
"T1-P02-38"	112.5	-46.26	-360.6	9.5
