"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P31-01"	1.5	-34	-275.5	-3.5
"T1-P31-02"	4.5	-37.64	-298.4	2.8
"T1-P31-03"	7.5	-45.83	-363.5	3.1
"T1-P31-04"	10.5	-46.88	-371.5	3.6
"T1-P31-05"	13.5	-46.17	-363.1	6.2
"T1-P31-06"	16.5	-50.04	-391.4	8.9
"T1-P31-07"	19.5	-52.7	-410.2	11.4
"T1-P31-08"	22.5	-50.17	-391.6	9.8
"T1-P31-09"	25.5	-45.77	-358.7	7.4
"T1-P31-10"	28.5	-39.6	-309	7.8
"T1-P31-11"	31.5	-41.36	-332.5	-1.6
"T1-P31-12"	34.5	-45.59	-361.4	3.3
"T1-P31-13"	37.5	-47.22	-370.7	7.1
"T1-P31-14"	40.5	-47.43	-370.5	8.9
"T1-P31-15"	43.5	-46.42	-361.3	10.1
"T1-P31-16"	46.5	-45.73	-355.5	10.3
"T1-P31-17"	49.5	-45.5	-354.1	9.9
"T1-P31-18"	52.5	-43.81	-342.8	7.6
"T1-P31-19"	55.5	-42.83	-337.4	5.3
"T1-P31-20"	58.5	-44.21	-345.5	8.2
"T1-P31-21"	61.5	-44.18	-343.9	9.5
"T1-P31-22"	64.5	-44.08	-342.3	10.3
"T1-P31-23"	67.5	-44.21	-343.6	10.1
"T1-P31-24"	70.5	-45.02	-353	7.2
"T1-P31-25"	73.5	-44.09	-346.8	5.9
"T1-P31-26"	76.5	-44.75	-353.9	4.1
"T1-P31-27"	79.5	-43.72	-340.5	9.2
"T1-P31-28"	82.5	-42.33	-327.5	11.2
"T1-P31-29"	85.5	-43.52	-338	10.2
"T1-P31-30"	88.5	-43.89	-344	7.1
"T1-P31-31"	91.5	-42.21	-333	4.7
"T1-P31-32"	94.5	-41.51	-331.4	0.7
"T1-P31-33"	97.5	-42.27	-338	0.1
"T1-P31-34"	100.5	-44.37	-353.4	1.5
"T1-P31-35"	103.5	-47.05	-372.7	3.6
"T1-P31-36"	106.5	-47.55	-373.5	6.9
"T1-P31-37"	109.5	-45.99	-357.8	10.2
"T1-P31-38"	112.5	-44.36	-345.6	9.3
