"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P11-01"	1.5			
"T1-P11-02"	4.5			
"T1-P11-03"	7.5	-41.02	-327.6	0.6
"T1-P11-04"	10.5	-43.48	-345	2.8
"T1-P11-05"	13.5	-47.41	-374.1	5.2
"T1-P11-06"	16.5	-49.7	-388.1	9.5
"T1-P11-07"	19.5	-50.14	-392.1	9
"T1-P11-08"	22.5	-47.26	-368.2	9.9
"T1-P11-09"	25.5	-45.33	-354	8.6
"T1-P11-10"	28.5	-40.11	-317.3	3.6
"T1-P11-11"	31.5	-45.33	-361	1.6
"T1-P11-12"	34.5	-50.83	-398.7	8
"T1-P11-13"	37.5	-48.71	-377.8	11.9
"T1-P11-14"	40.5	-47.95	-375.5	8.1
"T1-P11-15"	43.5	-46.88	-369	6
"T1-P11-16"	46.5	-45.2	-354.7	6.8
"T1-P11-17"	49.5	-44.21	-346.8	6.9
"T1-P11-18"	52.5	-41.89	-329.2	5.9
"T1-P11-19"	55.5	-41.63	-331.1	2
"T1-P11-20"	58.5	-43.64	-345.8	3.3
"T1-P11-21"	61.5	-44.62	-353.6	3.4
"T1-P11-22"	64.5	-43.56	-340	8.4
"T1-P11-23"	67.5	-41.95	-327	8.6
"T1-P11-24"	70.5	-40.36	-316.5	6.4
"T1-P11-25"	73.5	-40.09	-318	2.7
"T1-P11-26"	76.5	-40.69	-318.7	6.8
"T1-P11-27"	79.5	-41.13	-315.4	13.6
"T1-P11-28"	82.5	-41.96	-323.6	12
"T1-P11-29"	85.5	-43.34	-336.9	9.9
"T1-P11-30"	88.5	-43.72	-341.8	8
"T1-P11-31"	91.5	-43.06	-336.5	8
"T1-P11-32"	94.5	-41.41	-329.8	1.5
"T1-P11-33"	97.5	-41	-329.4	-1.4
"T1-P11-34"	100.5	-41.26	-330	0.1
"T1-P11-35"	103.5	-43.21	-343.6	2.1
"T1-P11-36"	106.5	-47.79	-378.9	3.4
"T1-P11-37"	109.5	-49.65	-391.2	5.9
"T1-P11-38"	112.5	-48.7	-381.9	7.7
