"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P27-01"	1.5			
"T1-P27-02"	4.5			
"T1-P27-03"	7.5	-38.69	-314.4	-4.9
"T1-P27-04"	10.5	-43.48	-347.7	0.1
"T1-P27-05"	13.5	-47.64	-375.9	5.3
"T1-P27-06"	16.5	-47.47	-375.6	4.2
"T1-P27-07"	19.5	-47.28	-375.3	2.9
"T1-P27-08"	22.5	-47.44	-376.6	2.9
"T1-P27-09"	25.5	-46.56	-369.3	3.2
"T1-P27-10"	28.5	-40.51	-322.5	1.5
"T1-P27-11"	31.5	-39.73	-318	-0.2
"T1-P27-12"	34.5	-42.47	-342	-2.2
"T1-P27-13"	37.5	-45.36	-362.8	0.2
"T1-P27-14"	40.5	-46.21	-366.3	3.4
"T1-P27-15"	43.5	-46.42	-365.2	6.1
"T1-P27-16"	46.5	-43.8	-342.7	7.7
"T1-P27-17"	49.5	-42.92	-337.1	6.3
"T1-P27-18"	52.5	-40.87	-319.9	7.1
"T1-P27-19"	55.5	-37.92	-301.1	2.3
"T1-P27-20"	58.5	-38.96	-311.8	-0.2
"T1-P27-21"	61.5	-42.07	-332.2	4.4
"T1-P27-22"	64.5	-43.6	-341.1	7.7
"T1-P27-23"	67.5	-42.58	-331.6	9
"T1-P27-24"	70.5	-41.5	-323.3	8.7
"T1-P27-25"	73.5	-42.67	-336	5.4
"T1-P27-26"	76.5	-44.65	-353.4	3.8
"T1-P27-27"	79.5	-46.6	-368.4	4.3
"T1-P27-28"	82.5	-46.09	-361.5	7.2
"T1-P27-29"	85.5	-43.45	-337.4	10.2
"T1-P27-30"	88.5	-41.72	-323	10.7
"T1-P27-31"	91.5	-41.12	-320.5	8.4
"T1-P27-32"	94.5	-39.77	-311.2	6.9
"T1-P27-33"	97.5	-38.7	-303.1	6.5
"T1-P27-34"	100.5	-39.52	-309.7	6.4
"T1-P27-35"	103.5	-41.13	-326.1	2.9
"T1-P27-36"	106.5	-43.31	-343.3	3.1
"T1-P27-37"	109.5	-45.2	-357.9	3.7
"T1-P27-38"	112.5	-46.15	-366.2	2.9
