"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P33-01"	1.5			
"T1-P33-02"	4.5	-46.48	-367.7	4.1
"T1-P33-03"	7.5	-51.42	-401.8	9.5
"T1-P33-04"	10.5	-52.21	-407.2	10.5
"T1-P33-05"	13.5	-53.01	-412.3	11.8
"T1-P33-06"	16.5	-50.88	-398.4	8.7
"T1-P33-07"	19.5	-48	-380.3	3.7
"T1-P33-08"	22.5	-46.8	-367.2	7.2
"T1-P33-09"	25.5	-46	-361.4	6.6
"T1-P33-10"	28.5	-40.46	-314.1	9.6
"T1-P33-11"	31.5	-41.32	-327	3.6
"T1-P33-12"	34.5	-46.77	-367.3	6.9
"T1-P33-13"	37.5	-47.97	-373.7	10.1
"T1-P33-14"	40.5	-47.81	-372.8	9.7
"T1-P33-15"	43.5	-45.82	-357.9	8.6
"T1-P33-16"	46.5	-43.58	-340.1	8.5
"T1-P33-17"	49.5	-44.62	-352.9	4.1
"T1-P33-18"	52.5	-43.19	-341	4.5
"T1-P33-19"	55.5	-38.6	-299	9.8
"T1-P33-20"	58.5	-38.45	-300.3	7.3
"T1-P33-21"	61.5	-41.56	-331.6	0.8
"T1-P33-22"	64.5	-44.52	-351.4	4.8
"T1-P33-23"	67.5	-45.36	-354.1	8.8
"T1-P33-24"	70.5	-45.02	-351.6	8.5
"T1-P33-25"	73.5	-43.47	-340.9	6.8
"T1-P33-26"	76.5	-43.92	-347.2	4.2
"T1-P33-27"	79.5	-45.34	-356.3	6.4
"T1-P33-28"	82.5	-45.03	-350.3	9.9
"T1-P33-29"	85.5	-44.33	-345.6	9
"T1-P33-30"	88.5	-44	-344.2	7.8
"T1-P33-31"	91.5	-42.02	-333.2	3
"T1-P33-32"	94.5	-41.92	-335.7	-0.3
"T1-P33-33"	97.5	-42.55	-340.1	0.3
"T1-P33-34"	100.5	-44.42	-352.3	3
"T1-P33-35"	103.5	-46.19	-364.8	4.7
"T1-P33-36"	106.5	-47.21	-372	5.7
"T1-P33-37"	109.5	-46.11	-359	9.9
"T1-P33-38"	112.5	-44.34	-344.5	10.3
