"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P38-01"	1.5			
"T1-P38-02"	4.5			
"T1-P38-03"	7.5	-36.33	-294.8	-4.2
"T1-P38-04"	10.5	-45.5	-363.6	0.4
"T1-P38-05"	13.5	-48.47	-382.6	5.2
"T1-P38-06"	16.5	-50.37	-395.9	7
"T1-P38-07"	19.5	-52.17	-408	9.4
"T1-P38-08"	22.5	-48.07	-377.9	6.6
"T1-P38-09"	25.5	-46.92	-365.8	9.6
"T1-P38-10"	28.5	-47.26	-365.6	12.5
"T1-P38-11"	31.5	-44.74	-349.7	8.2
"T1-P38-12"	34.5	-42.97	-345.7	-1.9
"T1-P38-13"	37.5	-44.21	-356	-2.3
"T1-P38-14"	40.5	-45.88	-365.7	1.4
"T1-P38-15"	43.5	-48.29	-380.3	6.1
"T1-P38-16"	46.5	-48.25	-377.9	8.1
"T1-P38-17"	49.5	-46.01	-360.1	8
"T1-P38-18"	52.5	-46.26	-362.8	7.3
"T1-P38-19"	55.5	-43.66	-343.8	5.5
"T1-P38-20"	58.5	-42.82	-337.9	4.6
"T1-P38-21"	61.5	-43.67	-346.2	3.1
"T1-P38-22"	64.5	-45.48	-364	-0.2
"T1-P38-23"	67.5	-45.32	-360.7	1.8
"T1-P38-24"	70.5	-43.46	-346.4	1.2
"T1-P38-25"	73.5	-43.15	-345.6	-0.4
"T1-P38-26"	76.5	-44.24	-351.5	2.4
"T1-P38-27"	79.5	-45.94	-363.5	4
"T1-P38-28"	82.5	-46.55	-365.1	7.4
"T1-P38-29"	85.5	-44.47	-346.7	9.1
"T1-P38-30"	88.5	-42.95	-333.3	10.4
"T1-P38-31"	91.5	-42.04	-325.9	10.5
"T1-P38-32"	94.5	-40.9	-318.8	8.5
"T1-P38-33"	97.5	-40.96	-325	2.7
"T1-P38-34"	100.5	-43.66	-348.2	1.1
"T1-P38-35"	103.5	-47	-373.1	2.9
"T1-P38-36"	106.5	-48.35	-381.4	5.5
"T1-P38-37"	109.5	-47.89	-376.6	6.5
"T1-P38-38"	112.5	-46.34	-363.8	6.9
