"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T2-P04-01"	1.5	-39.37	-319.6	-4.6
"T2-P04-02"	4.5	-44.63	-354.9	2.1
"T2-P04-03"	7.5	-47.11	-370.5	6.3
"T2-P04-04"	10.5	-47.98	-377.9	5.9
"T2-P04-05"	13.5	-47.03	-368.4	7.9
"T2-P04-06"	16.5	-46.34	-360.6	10.1
"T2-P04-07"	19.5	-42.23	-330.9	7
"T2-P04-08"	22.5	-39.83	-316.7	2
"T2-P04-09"	25.5	-39.23	-312.8	1
"T2-P04-10"	28.5	-39.46	-312.2	3.5
"T2-P04-11"	31.5	-41.06	-323.9	4.6
"T2-P04-12"	34.5	-45	-355.4	4.6
"T2-P04-13"	37.5	-47.81	-375	7.4
"T2-P04-14"	40.5	-48.09	-378.1	6.6
"T2-P04-15"	43.5	-46.23	-363.4	6.5
"T2-P04-16"	46.5	-41.8	-325.8	8.6
"T2-P04-17"	49.5	-39.35	-307	7.9
"T2-P04-18"	52.5	-42.78	-335.6	6.7
"T2-P04-19"	55.5	-46.87	-366.6	8.4
"T2-P04-20"	58.5	-49.48	-386.6	9.2
"T2-P04-21"	61.5	-48.97	-382.1	9.7
"T2-P04-22"	64.5	-46	-360.9	7
"T2-P04-23"	67.5	-46.86	-370.2	4.6
"T2-P04-24"	70.5	-48.64	-383.2	5.9
"T2-P04-25"	73.5	-47.87	-374.9	8.1
"T2-P04-26"	76.5	-44.26	-341.9	12.2
"T2-P04-27"	79.5	-42.05	-323.4	13
"T2-P04-28"	82.5	-42.17	-325.1	12.3
"T2-P04-29"	85.5	-43.32	-338.1	8.4
"T2-P04-30"	88.5	-41.33	-320.8	9.8
"T2-P04-31"	91.5	-39.33	-305.1	9.5
"T2-P04-32"	94.5	-40.14	-312.3	8.8
"T2-P04-33"	97.5	-42.22	-331.1	6.6
"T2-P04-34"	100.5	-45.33	-357.6	5
"T2-P04-35"	103.5	-45.72	-358	7.7
"T2-P04-36"	106.5	-44.96	-350.8	8.9
"T2-P04-37"	109.5	-44.38	-345.8	9.2
"T2-P04-38"	112.5	-42.99	-336.1	7.8
