"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P28-01"	1.5			
"T1-P28-02"	4.5			
"T1-P28-03"	7.5	-42.36	-338.9	0
"T1-P28-04"	10.5	-47.12	-371.4	5.6
"T1-P28-05"	13.5	-47.36	-373.5	5.5
"T1-P28-06"	16.5	-47.38	-374	5
"T1-P28-07"	19.5	-47.53	-375.9	4.3
"T1-P28-08"	22.5	-47.56	-376.8	3.7
"T1-P28-09"	25.5	-47.37	-374.8	4.2
"T1-P28-10"	28.5	-42.98	-337.4	6.4
"T1-P28-11"	31.5	-39.97	-316	3.7
"T1-P28-12"	34.5	-44.17	-353.2	0.2
"T1-P28-13"	37.5	-46.4	-367.5	3.8
"T1-P28-14"	40.5	-47.37	-372.2	6.7
"T1-P28-15"	43.5	-47.45	-371.3	8.3
"T1-P28-16"	46.5	-46.26	-361.4	8.8
"T1-P28-17"	49.5	-44.91	-349.6	9.7
"T1-P28-18"	52.5	-40.75	-316.5	9.5
"T1-P28-19"	55.5	-39.5	-310.6	5.4
"T1-P28-20"	58.5	-42.13	-331.5	5.5
"T1-P28-21"	61.5	-42.57	-332.3	8.2
"T1-P28-22"	64.5	-42.03	-327	9.2
"T1-P28-23"	67.5	-40.84	-317.9	8.8
"T1-P28-24"	70.5	-40.51	-317.2	6.9
"T1-P28-25"	73.5	-41.79	-331.7	2.6
"T1-P28-26"	76.5	-44.49	-352	4
"T1-P28-27"	79.5	-44.12	-343.9	9.1
"T1-P28-28"	82.5	-42.14	-326.3	10.9
"T1-P28-29"	85.5	-41.06	-316.5	12
"T1-P28-30"	88.5	-41	-318.3	9.8
"T1-P28-31"	91.5	-40.84	-318.9	7.9
"T1-P28-32"	94.5	-39.03	-304.7	7.6
"T1-P28-33"	97.5	-39.09	-305.1	7.6
"T1-P28-34"	100.5	-40.21	-316.4	5.3
"T1-P28-35"	103.5	-42.79	-339.1	3.3
"T1-P28-36"	106.5	-45.46	-360.9	2.8
"T1-P28-37"	109.5	-46.68	-371.8	1.6
"T1-P28-38"	112.5	-45.27	-360.8	1.4
