"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P18-01"	1.5			
"T1-P18-02"	4.5			
"T1-P18-03"	7.5			
"T1-P18-04"	10.5	-39.47	-322.6	-6.9
"T1-P18-05"	13.5	-45.92	-366.3	1.1
"T1-P18-06"	16.5	-48.63	-383.6	5.4
"T1-P18-07"	19.5	-47.91	-379.1	4.1
"T1-P18-08"	22.5	-46.66	-370.7	2.6
"T1-P18-09"	25.5	-46.19	-361.6	8
"T1-P18-10"	28.5	-44.99	-352.8	7.1
"T1-P18-11"	31.5	-42.64	-335.7	5.4
"T1-P18-12"	34.5	-44.36	-357.1	-2.2
"T1-P18-13"	37.5	-46.53	-368.1	4.1
"T1-P18-14"	40.5	-47.9	-375.7	7.5
"T1-P18-15"	43.5	-45.82	-357	9.5
"T1-P18-16"	46.5	-41.6	-325.1	7.7
"T1-P18-17"	49.5	-41.16	-322.6	6.7
"T1-P18-18"	52.5	-41.84	-328.3	6.4
"T1-P18-19"	55.5	-41.17	-326.4	3
"T1-P18-20"	58.5	-42.83	-339	3.6
"T1-P18-21"	61.5	-46.02	-362.8	5.3
"T1-P18-22"	64.5	-47.57	-372.2	8.4
"T1-P18-23"	67.5	-47.43	-371.8	7.7
"T1-P18-24"	70.5	-45.58	-359.2	5.5
"T1-P18-25"	73.5	-43.89	-347.8	3.3
"T1-P18-26"	76.5	-44.02	-346.8	5.4
"T1-P18-27"	79.5	-42.8	-332.9	9.5
"T1-P18-28"	82.5	-41.71	-322.2	11.5
"T1-P18-29"	85.5	-40.67	-315.8	9.5
"T1-P18-30"	88.5	-41.74	-323.8	10.1
"T1-P18-31"	91.5	-41.64	-323.7	9.4
"T1-P18-32"	94.5	-40.75	-319.8	6.2
"T1-P18-33"	97.5	-40.08	-315.1	5.6
"T1-P18-34"	100.5	-41.43	-329.4	2.1
"T1-P18-35"	103.5	-44.58	-356	0.6
"T1-P18-36"	106.5	-47.49	-375.6	4.3
"T1-P18-37"	109.5	-47.75	-375.6	6.4
"T1-P18-38"	112.5	-47.15	-369.2	8
