"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P24-01"	1.5			
"T1-P24-02"	4.5			
"T1-P24-03"	7.5			
"T1-P24-04"	10.5	-42.35	-341.8	-3
"T1-P24-05"	13.5	-47.08	-373.5	3.2
"T1-P24-06"	16.5	-49.38	-388.5	6.5
"T1-P24-07"	19.5	-50.07	-393	7.5
"T1-P24-08"	22.5	-47.46	-376.6	3.1
"T1-P24-09"	25.5	-47.17	-374	3.4
"T1-P24-10"	28.5	-45.17	-356.5	4.9
"T1-P24-11"	31.5	-42.07	-336.5	0.1
"T1-P24-12"	34.5	-43.03	-345.6	-1.4
"T1-P24-13"	37.5	-45.03	-358.1	2.2
"T1-P24-14"	40.5	-46.97	-369.9	5.9
"T1-P24-15"	43.5	-47.85	-374.2	8.6
"T1-P24-16"	46.5	-44.92	-350.7	8.7
"T1-P24-17"	49.5	-43.34	-338.1	8.7
"T1-P24-18"	52.5	-40.52	-315.4	8.7
"T1-P24-19"	55.5	-39.14	-310.4	2.7
"T1-P24-20"	58.5	-41.58	-329.4	3.3
"T1-P24-21"	61.5	-42.72	-336.6	5.1
"T1-P24-22"	64.5	-43.96	-346.2	5.5
"T1-P24-23"	67.5	-43.82	-343	7.5
"T1-P24-24"	70.5	-42.66	-334.1	7.2
"T1-P24-25"	73.5	-44.7	-354	3.5
"T1-P24-26"	76.5	-46.11	-362.5	6.4
"T1-P24-27"	79.5	-45.18	-352.4	9.1
"T1-P24-28"	82.5	-42.57	-329.1	11.4
"T1-P24-29"	85.5	-41.27	-319.2	11
"T1-P24-30"	88.5	-41.22	-319.7	10
"T1-P24-31"	91.5	-41.45	-322.1	9.6
"T1-P24-32"	94.5	-40.08	-312.8	7.8
"T1-P24-33"	97.5	-38.85	-302.8	8
"T1-P24-34"	100.5	-38.81	-302.3	8.2
"T1-P24-35"	103.5	-40.74	-319.6	6.3
"T1-P24-36"	106.5	-44.42	-350.5	4.8
"T1-P24-37"	109.5	-47.07	-371.5	5
"T1-P24-38"	112.5	-48.7	-382.8	6.8
