"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P30-01"	1.5			
"T1-P30-02"	4.5	-41.67	-328.1	5.2
"T1-P30-03"	7.5	-42.56	-335.8	4.6
"T1-P30-04"	10.5	-47.9	-376.1	7.1
"T1-P30-05"	13.5	-51.09	-397.2	11.6
"T1-P30-06"	16.5	-51.05	-397.8	10.6
"T1-P30-07"	19.5	-49.68	-388.5	9
"T1-P30-08"	22.5	-47.21	-370.7	7
"T1-P30-09"	25.5	-42.17	-328.3	9.1
"T1-P30-10"	28.5	-37.99	-297.4	6.5
"T1-P30-11"	31.5	-40.77	-324.8	1.4
"T1-P30-12"	34.5	-44.68	-355	2.4
"T1-P30-13"	37.5	-46.85	-369.1	5.7
"T1-P30-14"	40.5	-47.73	-372.9	9
"T1-P30-15"	43.5	-47.78	-372.9	9.4
"T1-P30-16"	46.5	-46.43	-362.5	9
"T1-P30-17"	49.5	-44.62	-348.3	8.6
"T1-P30-18"	52.5	-41.53	-323	9.2
"T1-P30-19"	55.5	-40.45	-317.1	6.5
"T1-P30-20"	58.5	-41.81	-327.1	7.4
"T1-P30-21"	61.5	-41.88	-326.8	8.2
"T1-P30-22"	64.5	-41.01	-322.1	5.9
"T1-P30-23"	67.5	-41.38	-330.9	0.1
"T1-P30-24"	70.5	-43.2	-345.5	0.2
"T1-P30-25"	73.5	-45.43	-361.4	2
"T1-P30-26"	76.5	-47.09	-371	5.7
"T1-P30-27"	79.5	-45.73	-357	8.8
"T1-P30-28"	82.5	-43.48	-335	12.8
"T1-P30-29"	85.5	-43.62	-339.2	9.8
"T1-P30-30"	88.5	-43.01	-333.6	10.4
"T1-P30-31"	91.5	-41.09	-319.4	9.4
"T1-P30-32"	94.5	-39.11	-305.4	7.5
"T1-P30-33"	97.5	-39.25	-310.6	3.5
"T1-P30-34"	100.5	-40.4	-320.1	3.1
"T1-P30-35"	103.5	-42.92	-339.5	3.9
"T1-P30-36"	106.5	-46.51	-367.1	5
"T1-P30-37"	109.5	-47.67	-375.9	5.5
"T1-P30-38"	112.5	-45.58	-358.8	5.8
