"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P22-01"	1.5			
"T1-P22-02"	4.5			
"T1-P22-03"	7.5	-35.96	-294.4	-6.7
"T1-P22-04"	10.5	-36.91	-299.6	-4.3
"T1-P22-05"	13.5	-43.89	-353	-1.9
"T1-P22-06"	16.5	-49.38	-391	4
"T1-P22-07"	19.5	-49.63	-390.4	6.7
"T1-P22-08"	22.5	-51.3	-403	7.4
"T1-P22-09"	25.5	-46.54	-365.9	6.4
"T1-P22-10"	28.5	-43.07	-336.3	8.3
"T1-P22-11"	31.5	-40.64	-323.1	2.1
"T1-P22-12"	34.5	-43.71	-348.3	1.3
"T1-P22-13"	37.5	-44.44	-351.8	3.7
"T1-P22-14"	40.5	-45.26	-355.7	6.4
"T1-P22-15"	43.5	-46.39	-364.7	6.5
"T1-P22-16"	46.5	-45.66	-357.7	7.6
"T1-P22-17"	49.5	-45	-356.7	3.3
"T1-P22-18"	52.5	-44.02	-347.8	4.4
"T1-P22-19"	55.5	-42.01	-333.5	2.6
"T1-P22-20"	58.5	-43.48	-344.3	3.6
"T1-P22-21"	61.5	-44.44	-349.9	5.6
"T1-P22-22"	64.5	-45.32	-357.4	5.2
"T1-P22-23"	67.5	-46.56	-368.6	3.9
"T1-P22-24"	70.5	-44.56	-349	7.5
"T1-P22-25"	73.5	-43.3	-341.9	4.5
"T1-P22-26"	76.5	-44.65	-350.5	6.7
"T1-P22-27"	79.5	-43.58	-336.8	11.9
"T1-P22-28"	82.5	-43	-329.2	14.8
"T1-P22-29"	85.5	-43.24	-334.3	11.7
"T1-P22-30"	88.5	-43.28	-334.9	11.4
"T1-P22-31"	91.5	-42.99	-333.2	10.7
"T1-P22-32"	94.5	-42.39	-331.5	7.6
"T1-P22-33"	97.5	-41.83	-333.2	1.5
"T1-P22-34"	100.5	-43.31	-347.8	-1.3
"T1-P22-35"	103.5	-47.3	-376.3	2
"T1-P22-36"	106.5	-48.99	-387.9	4
"T1-P22-37"	109.5	-48.18	-379.5	5.9
"T1-P22-38"	112.5	-47.1	-371.7	5.1
