"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P35-01"	1.5			
"T1-P35-02"	4.5	-48.15	-382.7	2.5
"T1-P35-03"	7.5	-51.12	-400.4	8.6
"T1-P35-04"	10.5	-52.31	-408.3	10.1
"T1-P35-05"	13.5	-53.58	-415.6	13
"T1-P35-06"	16.5	-52.94	-411.3	12.2
"T1-P35-07"	19.5	-48.08	-375.9	8.8
"T1-P35-08"	22.5	-46.6	-362.5	10.3
"T1-P35-09"	25.5	-46.42	-361.9	9.5
"T1-P35-10"	28.5	-43.29	-338.4	8
"T1-P35-11"	31.5	-40.1	-318.6	2.2
"T1-P35-12"	34.5	-43.19	-346.5	-1
"T1-P35-13"	37.5	-47.08	-371.4	5.3
"T1-P35-14"	40.5	-48.03	-374.5	9.7
"T1-P35-15"	43.5	-48.14	-374.1	11
"T1-P35-16"	46.5	-47.72	-371.1	10.7
"T1-P35-17"	49.5	-45.56	-353.9	10.6
"T1-P35-18"	52.5	-43.34	-335.5	11.3
"T1-P35-19"	55.5	-44.01	-342.7	9.4
"T1-P35-20"	58.5	-43.22	-339.3	6.4
"T1-P35-21"	61.5	-45.84	-363.9	2.8
"T1-P35-22"	64.5	-47.85	-379	3.9
"T1-P35-23"	67.5	-46.96	-369.9	5.8
"T1-P35-24"	70.5	-44.13	-350.7	2.4
"T1-P35-25"	73.5	-45.69	-364	1.6
"T1-P35-26"	76.5	-47.11	-372.5	4.4
"T1-P35-27"	79.5	-47.18	-371.2	6.3
"T1-P35-28"	82.5	-48.1	-378.2	6.6
"T1-P35-29"	85.5	-47.77	-374.2	7.9
"T1-P35-30"	88.5	-45.49	-355.1	8.8
"T1-P35-31"	91.5	-43.65	-341.6	7.6
"T1-P35-32"	94.5	-42.38	-332.5	6.5
"T1-P35-33"	97.5	-41.88	-329.6	5.4
"T1-P35-34"	100.5	-43.75	-345.8	4.2
"T1-P35-35"	103.5	-46.63	-369.6	3.5
"T1-P35-36"	106.5	-48.51	-383.5	4.6
"T1-P35-37"	109.5	-48.32	-381.8	4.8
"T1-P35-38"	112.5	-47.34	-374.5	4.2
