"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P12-01"	1.5			
"T1-P12-02"	4.5			
"T1-P12-03"	7.5	-36.89	-299.4	-4.2
"T1-P12-04"	10.5	-40.45	-323.8	-0.3
"T1-P12-05"	13.5	-42.4	-338	1.2
"T1-P12-06"	16.5	-48.61	-380.5	8.3
"T1-P12-07"	19.5	-50.09	-392.1	8.6
"T1-P12-08"	22.5	-47.75	-372.2	9.8
"T1-P12-09"	25.5	-44.8	-350	8.4
"T1-P12-10"	28.5	-39.23	-310	3.8
"T1-P12-11"	31.5	-42.86	-341.2	1.6
"T1-P12-12"	34.5	-48.46	-380.7	7
"T1-P12-13"	37.5	-47.26	-368.2	9.9
"T1-P12-14"	40.5	-47.25	-370.4	7.6
"T1-P12-15"	43.5	-46.75	-368.8	5.2
"T1-P12-16"	46.5	-45.88	-360.6	6.4
"T1-P12-17"	49.5	-44.52	-349.1	7
"T1-P12-18"	52.5	-43.8	-343.2	7.2
"T1-P12-19"	55.5	-42.45	-335.7	3.9
"T1-P12-20"	58.5	-44.23	-350.1	3.8
"T1-P12-21"	61.5	-46.1	-364.3	4.5
"T1-P12-22"	64.5	-48.37	-381	5.9
"T1-P12-23"	67.5	-46.19	-360	9.5
"T1-P12-24"	70.5	-43.88	-342.8	8.3
"T1-P12-25"	73.5	-43.09	-341.9	2.8
"T1-P12-26"	76.5	-43.22	-336.2	9.5
"T1-P12-27"	79.5	-42.07	-322.9	13.7
"T1-P12-28"	82.5	-42.07	-322.8	13.7
"T1-P12-29"	85.5	-43.12	-334.4	10.6
"T1-P12-30"	88.5	-43.97	-344	7.8
"T1-P12-31"	91.5	-42.8	-335.1	7.3
"T1-P12-32"	94.5	-41.33	-329.5	1.2
"T1-P12-33"	97.5	-41.41	-332.4	-1.1
"T1-P12-34"	100.5	-42.76	-340.8	1.2
"T1-P12-35"	103.5	-45.81	-363.4	3.1
"T1-P12-36"	106.5	-48.71	-384	5.7
"T1-P12-37"	109.5	-47.51	-372.9	7.1
"T1-P12-38"	112.5	-44.7	-350.1	7.5
