"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T2-P03-01"	1.5			
"T2-P03-02"	4.5	-40.04	-323.3	-3
"T2-P03-03"	7.5	-43.16	-343.2	2.1
"T2-P03-04"	10.5	-45.9	-362.9	4.2
"T2-P03-05"	13.5	-47.73	-376.1	5.8
"T2-P03-06"	16.5	-47.96	-376.7	7
"T2-P03-07"	19.5	-47.31	-369.4	9
"T2-P03-08"	22.5	-47.64	-369.8	11.4
"T2-P03-09"	25.5	-46.43	-360	11.4
"T2-P03-10"	28.5	-42.66	-335.4	5.9
"T2-P03-11"	31.5	-44.83	-353.2	5.4
"T2-P03-12"	34.5	-47.56	-372.2	8.3
"T2-P03-13"	37.5	-47.55	-371.9	8.6
"T2-P03-14"	40.5	-46.33	-361.8	8.8
"T2-P03-15"	43.5	-43.24	-336.3	9.6
"T2-P03-16"	46.5	-42.16	-328.9	8.3
"T2-P03-17"	49.5	-40.46	-319.6	4.1
"T2-P03-18"	52.5	-41.98	-333.7	2.1
"T2-P03-19"	55.5	-43.6	-343.8	5
"T2-P03-20"	58.5	-43.97	-343.1	8.6
"T2-P03-21"	61.5	-42.36	-330.5	8.4
"T2-P03-22"	64.5	-40.58	-320.2	4.5
"T2-P03-23"	67.5	-41.7	-333.2	0.4
"T2-P03-24"	70.5	-43.63	-347.4	1.7
"T2-P03-25"	73.5	-45.38	-357.4	5.6
"T2-P03-26"	76.5	-46.72	-367.3	6.5
"T2-P03-27"	79.5	-47.56	-373	7.5
"T2-P03-28"	82.5	-46.25	-361.8	8.2
"T2-P03-29"	85.5	-43.84	-342.4	8.4
"T2-P03-30"	88.5	-41.76	-328.9	5.1
"T2-P03-31"	91.5	-40.83	-325.4	1.3
"T2-P03-32"	94.5	-41.61	-332.6	0.3
"T2-P03-33"	97.5	-42.77	-340.7	1.4
"T2-P03-34"	100.5	-44.7	-354.7	2.9
"T2-P03-35"	103.5	-46.19	-365.4	4.1
"T2-P03-36"	106.5	-46.32	-365.8	4.8
"T2-P03-37"	109.5	-44.93	-352.8	6.7
"T2-P03-38"	112.5	-42.7	-333.5	8.1
