"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P26-01"	1.5			
"T1-P26-02"	4.5			
"T1-P26-03"	7.5	-38.86	-317.1	-6.2
"T1-P26-04"	10.5	-41.45	-331.9	-0.3
"T1-P26-05"	13.5	-43.62	-346.6	2.4
"T1-P26-06"	16.5	-45.71	-361.1	4.6
"T1-P26-07"	19.5	-49.2	-385.8	7.8
"T1-P26-08"	22.5	-54.23	-422.4	11.5
"T1-P26-09"	25.5	-49.48	-389.3	6.5
"T1-P26-10"	28.5	-44.81	-353.5	4.9
"T1-P26-11"	31.5	-42.36	-335.5	3.4
"T1-P26-12"	34.5	-42.26	-339.7	-1.7
"T1-P26-13"	37.5	-45.22	-359.8	2
"T1-P26-14"	40.5	-46.42	-366.5	4.9
"T1-P26-15"	43.5	-47.11	-371.3	5.5
"T1-P26-16"	46.5	-47.4	-374.6	4.6
"T1-P26-17"	49.5	-45.16	-355.3	5.9
"T1-P26-18"	52.5	-43.99	-345.3	6.6
"T1-P26-19"	55.5	-41.65	-328.5	4.8
"T1-P26-20"	58.5	-41.22	-327.1	2.7
"T1-P26-21"	61.5	-42.16	-333.1	4.2
"T1-P26-22"	64.5	-42.76	-335.8	6.2
"T1-P26-23"	67.5	-43.33	-340.6	6.1
"T1-P26-24"	70.5	-42.32	-329.3	9.2
"T1-P26-25"	73.5	-41.87	-325.9	9.1
"T1-P26-26"	76.5	-43.36	-339.5	7.4
"T1-P26-27"	79.5	-45.35	-357.8	5
"T1-P26-28"	82.5	-44.2	-344.1	9.5
"T1-P26-29"	85.5	-41.98	-324.7	11.1
"T1-P26-30"	88.5	-40.52	-314.5	9.6
"T1-P26-31"	91.5	-41.04	-318.1	10.2
"T1-P26-32"	94.5	-39.86	-310.3	8.6
"T1-P26-33"	97.5	-38.65	-300.3	8.8
"T1-P26-34"	100.5	-38.99	-302.4	9.5
"T1-P26-35"	103.5	-40.76	-320.2	5.9
"T1-P26-36"	106.5	-42.81	-337.9	4.5
"T1-P26-37"	109.5	-44.35	-348.7	6.1
"T1-P26-38"	112.5	-44.5	-349.1	6.9
