"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P21-01"	1.5			
"T1-P21-02"	4.5			
"T1-P21-03"	7.5	-36.02	-293.6	-5.5
"T1-P21-04"	10.5	-36.33	-296.4	-5.8
"T1-P21-05"	13.5	-43.47	-344.5	3.2
"T1-P21-06"	16.5	-48.68	-384.6	4.9
"T1-P21-07"	19.5	-47.32	-375.7	2.9
"T1-P21-08"	22.5	-46.64	-371.8	1.3
"T1-P21-09"	25.5	-45.76	-361.5	4.6
"T1-P21-10"	28.5	-46.14	-362.2	6.9
"T1-P21-11"	31.5	-44	-345	7
"T1-P21-12"	34.5	-43.98	-350.4	1.4
"T1-P21-13"	37.5	-45.48	-359.3	4.5
"T1-P21-14"	40.5	-46.21	-363.2	6.5
"T1-P21-15"	43.5	-46.9	-369.4	5.8
"T1-P21-16"	46.5	-44.57	-349.5	7.1
"T1-P21-17"	49.5	-44.25	-345.7	8.3
"T1-P21-18"	52.5	-42.65	-331.1	10.1
"T1-P21-19"	55.5	-43.78	-344.2	6
"T1-P21-20"	58.5	-43.16	-344.4	0.9
"T1-P21-21"	61.5	-44.58	-352.5	4.1
"T1-P21-22"	64.5	-44.92	-354.8	4.6
"T1-P21-23"	67.5	-46.72	-371	2.7
"T1-P21-24"	70.5	-44.51	-349.4	6.6
"T1-P21-25"	73.5	-41.54	-326.8	5.5
"T1-P21-26"	76.5	-41.15	-323.6	5.6
"T1-P21-27"	79.5	-40.9	-317	10.2
"T1-P21-28"	82.5	-41.28	-319.3	10.9
"T1-P21-29"	85.5	-42.24	-326.9	11
"T1-P21-30"	88.5	-42.91	-332.7	10.6
"T1-P21-31"	91.5	-43.01	-336.2	7.9
"T1-P21-32"	94.5	-42.8	-337.7	4.7
"T1-P21-33"	97.5	-42.29	-338.7	-0.4
"T1-P21-34"	100.5	-44.33	-355.8	-1.1
"T1-P21-35"	103.5	-46.32	-368.7	1.9
"T1-P21-36"	106.5	-46.62	-370.7	2.2
"T1-P21-37"	109.5	-46.63	-370.6	2.4
"T1-P21-38"	112.5	-46.34	-368.4	2.4
