"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P13-01"	1.5			
"T1-P13-02"	4.5			
"T1-P13-03"	7.5	-36.59	-300	-7.3
"T1-P13-04"	10.5	-37.43	-303.1	-3.6
"T1-P13-05"	13.5	-40.48	-323.2	0.7
"T1-P13-06"	16.5	-48.21	-380.3	5.3
"T1-P13-07"	19.5	-50.28	-393.6	8.6
"T1-P13-08"	22.5	-48.15	-375.6	9.6
"T1-P13-09"	25.5	-43.65	-341.7	7.5
"T1-P13-10"	28.5	-38.3	-301.8	4.6
"T1-P13-11"	31.5	-41.1	-323.5	5.3
"T1-P13-12"	34.5	-46.19	-366.3	3.2
"T1-P13-13"	37.5	-47.25	-370	8
"T1-P13-14"	40.5	-47.6	-373	7.8
"T1-P13-15"	43.5	-47.2	-370.7	6.9
"T1-P13-16"	46.5	-46.41	-365.4	5.9
"T1-P13-17"	49.5	-44.79	-351.5	6.8
"T1-P13-18"	52.5	-44.03	-344.3	7.9
"T1-P13-19"	55.5	-43.31	-341.2	5.3
"T1-P13-20"	58.5	-44.84	-354	4.7
"T1-P13-21"	61.5	-47.53	-375.1	5.2
"T1-P13-22"	64.5	-49.31	-387.4	7.1
"T1-P13-23"	67.5	-47.32	-369.8	8.8
"T1-P13-24"	70.5	-42.37	-336.4	2.5
"T1-P13-25"	73.5	-43.78	-347.6	2.6
"T1-P13-26"	76.5	-43.48	-340	7.9
"T1-P13-27"	79.5	-42.2	-325.8	11.8
"T1-P13-28"	82.5	-42.23	-324.6	13.3
"T1-P13-29"	85.5	-43.13	-334.1	10.9
"T1-P13-30"	88.5	-43.92	-343.1	8.3
"T1-P13-31"	91.5	-42.96	-333.2	10.5
"T1-P13-32"	94.5	-41.12	-322.1	6.8
"T1-P13-33"	97.5	-40.85	-322.4	4.4
"T1-P13-34"	100.5	-41.91	-333	2.3
"T1-P13-35"	103.5	-45.17	-357.3	4.1
"T1-P13-36"	106.5	-47.95	-378.6	5
"T1-P13-37"	109.5	-47.97	-377.6	6.2
"T1-P13-38"	112.5	-45.75	-355.8	10.2
