"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P08-01"	1.5			
"T1-P08-02"	4.5	-39.85	-323.2	-4.4
"T1-P08-03"	7.5	-44.32	-354.5	0.1
"T1-P08-04"	10.5	-49.48	-391.6	4.2
"T1-P08-05"	13.5	-49.18	-387.9	5.5
"T1-P08-06"	16.5	-48.18	-381	4.5
"T1-P08-07"	19.5	-47.38	-376.4	2.7
"T1-P08-08"	22.5	-46.79	-365.2	9.2
"T1-P08-09"	25.5	-46.14	-360.3	8.9
"T1-P08-10"	28.5	-41.69	-327.1	6.4
"T1-P08-11"	31.5	-41.31	-328.5	2
"T1-P08-12"	34.5	-46.82	-371.2	3.3
"T1-P08-13"	37.5	-47.87	-377.2	5.8
"T1-P08-14"	40.5	-47.57	-375.8	4.7
"T1-P08-15"	43.5	-46.32	-366	4.6
"T1-P08-16"	46.5	-44.2	-347.3	6.3
"T1-P08-17"	49.5	-41.49	-327.3	4.6
"T1-P08-18"	52.5	-37.86	-302.7	0.2
"T1-P08-19"	55.5	-38.51	-310.8	-2.7
"T1-P08-20"	58.5	-42.28	-339	-0.8
"T1-P08-21"	61.5	-44.12	-349.6	3.4
"T1-P08-22"	64.5	-42.52	-333.1	7.1
"T1-P08-23"	67.5	-41.35	-321.8	9
"T1-P08-24"	70.5	-40.16	-312.8	8.5
"T1-P08-25"	73.5	-40.29	-314	8.3
"T1-P08-26"	76.5	-39.71	-311.1	6.6
"T1-P08-27"	79.5	-40.22	-310.8	10.9
"T1-P08-28"	82.5	-40.56	-313.6	10.9
"T1-P08-29"	85.5	-41.13	-317.7	11.4
"T1-P08-30"	88.5	-41.53	-323.1	9.1
"T1-P08-31"	91.5	-42.71	-334.2	7.4
"T1-P08-32"	94.5	-42.53	-335	5.2
"T1-P08-33"	97.5	-41.96	-332.5	3.2
"T1-P08-34"	100.5	-42.87	-340.5	2.4
"T1-P08-35"	103.5	-46.04	-364	4.3
"T1-P08-36"	106.5	-48.69	-385	4.5
"T1-P08-37"	109.5	-49.72	-390.2	7.6
"T1-P08-38"	112.5	-48.44	-379.9	7.7
