"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P14-01"	1.5			
"T1-P14-02"	4.5			
"T1-P14-03"	7.5	-36.87	-300.1	-5.2
"T1-P14-04"	10.5	-40.04	-321.9	-1.6
"T1-P14-05"	13.5	-40.48	-324.7	-0.9
"T1-P14-06"	16.5	-46.65	-368.8	4.4
"T1-P14-07"	19.5	-51.17	-400.1	9.2
"T1-P14-08"	22.5	-47.76	-372.6	9.5
"T1-P14-09"	25.5	-40.29	-317.5	4.8
"T1-P14-10"	28.5	-37.35	-295	3.8
"T1-P14-11"	31.5	-40.27	-322	0.1
"T1-P14-12"	34.5	-45.06	-360.2	0.3
"T1-P14-13"	37.5	-47.01	-370.3	5.8
"T1-P14-14"	40.5	-48.15	-380.7	4.5
"T1-P14-15"	43.5	-48.6	-380.8	8
"T1-P14-16"	46.5	-46.87	-368.1	6.8
"T1-P14-17"	49.5	-44.58	-348.3	8.3
"T1-P14-18"	52.5	-43.17	-340.9	4.4
"T1-P14-19"	55.5	-43.85	-347	3.8
"T1-P14-20"	58.5	-45.87	-363.7	3.3
"T1-P14-21"	61.5	-48.93	-384	7.5
"T1-P14-22"	64.5	-49.02	-383.2	8.9
"T1-P14-23"	67.5	-45.29	-352.1	10.2
"T1-P14-24"	70.5	-41.23	-327.2	2.7
"T1-P14-25"	73.5	-43.22	-343.7	2.1
"T1-P14-26"	76.5	-43.44	-339	8.6
"T1-P14-27"	79.5	-42.33	-327	11.7
"T1-P14-28"	82.5	-41.85	-321.3	13.5
"T1-P14-29"	85.5	-42.39	-329	10.1
"T1-P14-30"	88.5	-42.76	-333.6	8.5
"T1-P14-31"	91.5	-42.08	-326.8	9.8
"T1-P14-32"	94.5	-40.46	-318.2	5.5
"T1-P14-33"	97.5	-40.7	-322.9	2.7
"T1-P14-34"	100.5	-43.24	-343.8	2.1
"T1-P14-35"	103.5	-46.92	-370.3	5.1
"T1-P14-36"	106.5	-48.95	-385.4	6.2
"T1-P14-37"	109.5	-49.34	-387.3	7.4
"T1-P14-38"	112.5	-46.74	-367	6.9
