"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P23-01"	1.5			
"T1-P23-02"	4.5			
"T1-P23-03"	7.5			
"T1-P23-04"	10.5	-42.18	-343.2	-5.8
"T1-P23-05"	13.5	-46.25	-368.6	1.4
"T1-P23-06"	16.5	-48.28	-381.2	5.1
"T1-P23-07"	19.5	-48.72	-385.3	4.4
"T1-P23-08"	22.5	-49.44	-391.1	4.5
"T1-P23-09"	25.5	-46.4	-366.8	4.4
"T1-P23-10"	28.5	-43.16	-341.5	3.7
"T1-P23-11"	31.5	-42.16	-337.1	0.2
"T1-P23-12"	34.5	-44.66	-358.7	-1.5
"T1-P23-13"	37.5	-45.07	-360	0.6
"T1-P23-14"	40.5	-46.3	-366.6	3.8
"T1-P23-15"	43.5	-47.15	-371.7	5.5
"T1-P23-16"	46.5	-46.16	-361.5	7.8
"T1-P23-17"	49.5	-44.2	-345.3	8.2
"T1-P23-18"	52.5	-40.17	-314.6	6.8
"T1-P23-19"	55.5	-40.93	-327.7	-0.3
"T1-P23-20"	58.5	-44.01	-352.5	-0.4
"T1-P23-21"	61.5	-43.63	-345.3	3.7
"T1-P23-22"	64.5	-43.81	-345.6	4.8
"T1-P23-23"	67.5	-43.67	-341.2	8.1
"T1-P23-24"	70.5	-43.92	-345	6.4
"T1-P23-25"	73.5	-43.93	-348.4	3
"T1-P23-26"	76.5	-44.1	-346.5	6.2
"T1-P23-27"	79.5	-42.72	-330.4	11.3
"T1-P23-28"	82.5	-42.02	-323.7	12.4
"T1-P23-29"	85.5	-42.32	-326.8	11.7
"T1-P23-30"	88.5	-42.78	-331.8	10.4
"T1-P23-31"	91.5	-42.72	-331.2	10.6
"T1-P23-32"	94.5	-41.47	-324.2	7.6
"T1-P23-33"	97.5	-42.01	-329.6	6.5
"T1-P23-34"	100.5	-44.81	-353.8	4.7
"T1-P23-35"	103.5	-47.37	-374.6	4.3
"T1-P23-36"	106.5	-47.96	-379.9	3.8
"T1-P23-37"	109.5	-46.31	-365.9	4.6
"T1-P23-38"	112.5	-44.58	-350.8	5.9
