"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T2-P01-01"	1.5			
"T2-P01-02"	4.5	-40.35	-327.3	-4.5
"T2-P01-03"	7.5	-43.56	-345.8	2.6
"T2-P01-04"	10.5	-43.71	-346	3.8
"T2-P01-05"	13.5	-43.33	-342.3	4.3
"T2-P01-06"	16.5	-47.04	-370.1	6.2
"T2-P01-07"	19.5	-49.73	-389.1	8.8
"T2-P01-08"	22.5	-46.77	-362.9	11.3
"T2-P01-09"	25.5	-46.04	-357.8	10.5
"T2-P01-10"	28.5	-40.28	-313.4	8.8
"T2-P01-11"	31.5	-42.55	-338.5	1.8
"T2-P01-12"	34.5	-45.11	-361.7	-0.8
"T2-P01-13"	37.5	-46.81	-371.1	3.4
"T2-P01-14"	40.5	-47.31	-371.9	6.6
"T2-P01-15"	43.5	-46.51	-362.8	9.3
"T2-P01-16"	46.5	-45.38	-354.4	8.6
"T2-P01-17"	49.5	-43.53	-342	6.3
"T2-P01-18"	52.5	-40.75	-323.5	2.5
"T2-P01-19"	55.5	-45.75	-360.8	5.2
"T2-P01-20"	58.5	-47	-367.4	8.6
"T2-P01-21"	61.5	-45.11	-351.9	9
"T2-P01-22"	64.5	-42.46	-330.7	9
"T2-P01-23"	67.5	-41.07	-320.1	8.4
"T2-P01-24"	70.5	-42.39	-334.1	5
"T2-P01-25"	73.5	-44.53	-352.7	3.6
"T2-P01-26"	76.5	-46.65	-367.3	5.8
"T2-P01-27"	79.5	-45.67	-357.5	7.9
"T2-P01-28"	82.5	-42.9	-331.6	11.6
"T2-P01-29"	85.5	-42.19	-327.1	10.4
"T2-P01-30"	88.5	-42.39	-330.2	8.9
"T2-P01-31"	91.5	-42.12	-326.7	10.2
"T2-P01-32"	94.5	-41.48	-321.6	10.3
"T2-P01-33"	97.5	-41.54	-324.3	8
"T2-P01-34"	100.5	-43.39	-341.1	6.1
"T2-P01-35"	103.5	-44.56	-348.4	8
"T2-P01-36"	106.5	-44.84	-348.5	10.2
"T2-P01-37"	109.5	-44.56	-345.5	10.9
"T2-P01-38"	112.5	-43.74	-338.7	11.2
