"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T2-P02-01"	1.5			
"T2-P02-02"	4.5			
"T2-P02-03"	7.5			
"T2-P02-04"	10.5	-37.83	-305.3	-2.7
"T2-P02-05"	13.5	-42.28	-337.2	1
"T2-P02-06"	16.5	-47.02	-369.2	7
"T2-P02-07"	19.5	-49.33	-386.2	8.4
"T2-P02-08"	22.5	-47.35	-372.7	6.1
"T2-P02-09"	25.5	-40.52	-318.3	5.9
"T2-P02-10"	28.5	-39.01	-307	5.1
"T2-P02-11"	31.5	-42.04	-337.4	-1.1
"T2-P02-12"	34.5	-43.77	-351.2	-1.1
"T2-P02-13"	37.5	-45.4	-362.6	0.6
"T2-P02-14"	40.5	-46.2	-364.2	5.4
"T2-P02-15"	43.5	-46.03	-358.3	9.9
"T2-P02-16"	46.5	-44.33	-344.6	10
"T2-P02-17"	49.5	-41.83	-327.1	7.5
"T2-P02-18"	52.5	-41.48	-328.9	3
"T2-P02-19"	55.5	-42.92	-338.9	4.5
"T2-P02-20"	58.5	-44.55	-350.8	5.5
"T2-P02-21"	61.5	-45.07	-357.3	3.3
"T2-P02-22"	64.5	-42.1	-331.2	5.6
"T2-P02-23"	67.5	-39.24	-310.5	3.4
"T2-P02-24"	70.5	-39.09	-311.4	1.4
"T2-P02-25"	73.5	-40.47	-321.3	2.5
"T2-P02-26"	76.5	-40.84	-319.1	7.6
"T2-P02-27"	79.5	-40.5	-314.5	9.5
"T2-P02-28"	82.5	-40.17	-311.3	10.1
"T2-P02-29"	85.5	-40.75	-315.2	10.9
"T2-P02-30"	88.5	-43.19	-336.6	8.9
"T2-P02-31"	91.5	-44.87	-352.5	6.5
"T2-P02-32"	94.5	-43.79	-344.2	6.2
"T2-P02-33"	97.5	-44.52	-351.2	5
"T2-P02-34"	100.5	-46.22	-365.2	4.6
"T2-P02-35"	103.5	-46.92	-370.4	5
"T2-P02-36"	106.5	-46.68	-368.2	5.2
"T2-P02-37"	109.5	-45.49	-357	6.9
"T2-P02-38"	112.5	-42.84	-334.1	8.7
