"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P37-01"	1.5			
"T1-P37-02"	4.5			
"T1-P37-03"	7.5	-44.44	-358.5	-3
"T1-P37-04"	10.5	-46.47	-371.2	0.5
"T1-P37-05"	13.5	-48.67	-383.8	5.6
"T1-P37-06"	16.5	-48.21	-381.9	3.8
"T1-P37-07"	19.5	-46.75	-372.3	1.7
"T1-P37-08"	22.5	-46.02	-363.3	4.9
"T1-P37-09"	25.5	-46.11	-361	7.9
"T1-P37-10"	28.5	-47.9	-374.1	9.1
"T1-P37-11"	31.5	-42.84	-343.7	-0.9
"T1-P37-12"	34.5	-42.69	-347.1	-5.6
"T1-P37-13"	37.5	-44.09	-355.9	-3.2
"T1-P37-14"	40.5	-46.23	-366.5	3.3
"T1-P37-15"	43.5	-47.73	-376.6	5.2
"T1-P37-16"	46.5	-47.72	-376.4	5.3
"T1-P37-17"	49.5	-47.13	-370	7.1
"T1-P37-18"	52.5	-46.11	-362.5	6.3
"T1-P37-19"	55.5	-42.11	-331.9	5
"T1-P37-20"	58.5	-41.85	-331.3	3.5
"T1-P37-21"	61.5	-43.13	-340.2	4.8
"T1-P37-22"	64.5	-45.93	-364.2	3.2
"T1-P37-23"	67.5	-48.31	-384.1	2.4
"T1-P37-24"	70.5	-47.36	-373.4	5.4
"T1-P37-25"	73.5	-44.72	-355.5	2.3
"T1-P37-26"	76.5	-44.8	-357.4	1
"T1-P37-27"	79.5	-45.76	-361.7	4.4
"T1-P37-28"	82.5	-44.68	-348.5	8.9
"T1-P37-29"	85.5	-42.41	-329.7	9.6
"T1-P37-30"	88.5	-42.4	-330	9.3
"T1-P37-31"	91.5	-42.55	-332.9	7.5
"T1-P37-32"	94.5	-41.94	-326.6	8.9
"T1-P37-33"	97.5	-41.34	-324.5	6.2
"T1-P37-34"	100.5	-44	-348.2	3.8
"T1-P37-35"	103.5	-47.8	-377.7	4.6
"T1-P37-36"	106.5	-49.07	-386.8	5.7
"T1-P37-37"	109.5	-49.51	-389.6	6.4
"T1-P37-38"	112.5	-48.08	-377.7	6.9
