"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P05-01"	1.5			
"T1-P05-02"	4.5	-43.95	-352.1	-0.5
"T1-P05-03"	7.5	-48.57	-383.6	5
"T1-P05-04"	10.5	-49.21	-383.1	10.6
"T1-P05-05"	13.5	-49.14	-384.3	8.9
"T1-P05-06"	16.5	-48.73	-382.4	7.4
"T1-P05-07"	19.5	-47.3	-371	7.4
"T1-P05-08"	22.5	-46.58	-361.1	11.5
"T1-P05-09"	25.5	-46.22	-358	11.7
"T1-P05-10"	28.5	-41.32	-321.9	8.7
"T1-P05-11"	31.5	-42.05	-334.3	2.1
"T1-P05-12"	34.5	-47.45	-374.2	5.4
"T1-P05-13"	37.5	-47.93	-376.4	7.1
"T1-P05-14"	40.5	-48.54	-381.3	7
"T1-P05-15"	43.5	-47.32	-370	8.6
"T1-P05-16"	46.5	-44.59	-346.8	9.9
"T1-P05-17"	49.5	-40.34	-313.5	9.3
"T1-P05-18"	52.5	-37.69	-295.8	5.8
"T1-P05-19"	55.5	-39.12	-308.5	4.5
"T1-P05-20"	58.5	-42.11	-331.4	5.4
"T1-P05-21"	61.5	-44.07	-347.4	5.2
"T1-P05-22"	64.5	-43.22	-337	8.7
"T1-P05-23"	67.5	-41.86	-324.8	10
"T1-P05-24"	70.5	-41.98	-326.7	9.1
"T1-P05-25"	73.5	-40.72	-315.5	10.3
"T1-P05-26"	76.5	-39.95	-308.3	11.3
"T1-P05-27"	79.5	-40.43	-310.1	13.4
"T1-P05-28"	82.5	-40.95	-313.9	13.7
"T1-P05-29"	85.5	-41.26	-318	12
"T1-P05-30"	88.5	-42.1	-326.1	10.8
"T1-P05-31"	91.5	-42.75	-333.5	8.5
"T1-P05-32"	94.5	-41.36	-326.8	4
"T1-P05-33"	97.5	-41.97	-334.1	1.6
"T1-P05-34"	100.5	-44.21	-350.4	3.2
"T1-P05-35"	103.5	-47.05	-372	4.4
"T1-P05-36"	106.5	-47.91	-377.9	5.4
"T1-P05-37"	109.5	-46.53	-364.2	8
"T1-P05-38"	112.5	-44.78	-349.2	9.1
