"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P20-01"	1.5			
"T1-P20-02"	4.5			
"T1-P20-03"	7.5			
"T1-P20-04"	10.5	-37.99	-309.9	-6
"T1-P20-05"	13.5	-44.94	-357.8	1.7
"T1-P20-06"	16.5	-49.23	-387.3	6.5
"T1-P20-07"	19.5	-50.66	-397	8.4
"T1-P20-08"	22.5	-48.09	-379.7	5
"T1-P20-09"	25.5	-46.91	-371.9	3.4
"T1-P20-10"	28.5	-46.91	-366.4	8.9
"T1-P20-11"	31.5	-41.56	-321.7	10.8
"T1-P20-12"	34.5	-39.03	-308.2	4.1
"T1-P20-13"	37.5	-43	-341.1	2.9
"T1-P20-14"	40.5	-46.97	-368.6	7.2
"T1-P20-15"	43.5	-48.41	-380.1	7.2
"T1-P20-16"	46.5	-44.76	-348.6	9.5
"T1-P20-17"	49.5	-41.43	-321.7	9.7
"T1-P20-18"	52.5	-43.05	-335.4	9.1
"T1-P20-19"	55.5	-42.69	-334.7	6.9
"T1-P20-20"	58.5	-40.95	-323.1	4.5
"T1-P20-21"	61.5	-42.99	-339.1	4.9
"T1-P20-22"	64.5	-44.03	-345.8	6.5
"T1-P20-23"	67.5	-46.58	-370.3	2.4
"T1-P20-24"	70.5	-47.09	-374.6	2.2
"T1-P20-25"	73.5	-43.28	-338.6	7.6
"T1-P20-26"	76.5	-42.47	-329.6	10.2
"T1-P20-27"	79.5	-41.95	-323.9	11.7
"T1-P20-28"	82.5	-41.45	-318.8	12.8
"T1-P20-29"	85.5	-41.53	-319.5	12.7
"T1-P20-30"	88.5	-42.35	-329.2	9.6
"T1-P20-31"	91.5	-42.9	-334.2	9
"T1-P20-32"	94.5	-42.61	-333.4	7.5
"T1-P20-33"	97.5	-41.42	-324.7	6.6
"T1-P20-34"	100.5	-41.14	-323.5	5.6
"T1-P20-35"	103.5	-44.17	-349.5	3.9
"T1-P20-36"	106.5	-47.03	-370.9	5.4
"T1-P20-37"	109.5	-48.29	-381.2	5.1
"T1-P20-38"	112.5	-47.67	-376.1	5.3
