"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P17-01"	1.5			
"T1-P17-02"	4.5			
"T1-P17-03"	7.5			
"T1-P17-04"	10.5	-38.59	-315.6	-6.9
"T1-P17-05"	13.5	-42.56	-338.4	2.1
"T1-P17-06"	16.5	-47.06	-372.8	3.7
"T1-P17-07"	19.5	-49.67	-391.4	6
"T1-P17-08"	22.5	-51.26	-400	10
"T1-P17-09"	25.5	-46.76	-365.2	8.9
"T1-P17-10"	28.5	-44.02	-347.5	4.6
"T1-P17-11"	31.5	-42.86	-348.7	-5.9
"T1-P17-12"	34.5	-44.19	-358	-4.4
"T1-P17-13"	37.5	-45.71	-364.4	1.2
"T1-P17-14"	40.5	-46.56	-365.4	7.1
"T1-P17-15"	43.5	-45.4	-353.8	9.4
"T1-P17-16"	46.5	-43.04	-334.4	9.9
"T1-P17-17"	49.5	-43.31	-336.8	9.8
"T1-P17-18"	52.5	-43.29	-338.4	7.9
"T1-P17-19"	55.5	-40.1	-319.3	1.5
"T1-P17-20"	58.5	-43.32	-341.5	5
"T1-P17-21"	61.5	-46	-358.3	9.7
"T1-P17-22"	64.5	-46.05	-357.4	11
"T1-P17-23"	67.5	-46.44	-361	10.4
"T1-P17-24"	70.5	-46.59	-365.7	7
"T1-P17-25"	73.5	-44.75	-351.1	6.8
"T1-P17-26"	76.5	-43.55	-341	7.4
"T1-P17-27"	79.5	-42.23	-326.5	11.4
"T1-P17-28"	82.5	-41.37	-319.4	11.6
"T1-P17-29"	85.5	-41.06	-318	10.5
"T1-P17-30"	88.5	-40.96	-318.5	9.2
"T1-P17-31"	91.5	-41.3	-323.5	6.9
"T1-P17-32"	94.5	-41.73	-329.3	4.6
"T1-P17-33"	97.5	-41.32	-326.5	4
"T1-P17-34"	100.5	-43.36	-343.7	3.2
"T1-P17-35"	103.5	-46.68	-369.4	4
"T1-P17-36"	106.5	-47.71	-376.6	5.1
"T1-P17-37"	109.5	-47.59	-374.6	6.2
"T1-P17-38"	112.5	-46.47	-363.6	8.2
