"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P25-01"	1.5			
"T1-P25-02"	4.5			
"T1-P25-03"	7.5			
"T1-P25-04"	10.5	-40.85	-332	-5.2
"T1-P25-05"	13.5	-44.26	-352.7	1.3
"T1-P25-06"	16.5	-46.39	-366.3	4.8
"T1-P25-07"	19.5	-49.32	-389	5.5
"T1-P25-08"	22.5	-51.59	-404	8.7
"T1-P25-09"	25.5	-50.64	-394.7	10.5
"T1-P25-10"	28.5	-44.8	-351.1	7.3
"T1-P25-11"	31.5	-42.13	-334	3
"T1-P25-12"	34.5	-42.18	-334.8	2.7
"T1-P25-13"	37.5	-45.02	-358.4	1.7
"T1-P25-14"	40.5	-46.29	-365.9	4.4
"T1-P25-15"	43.5	-46.84	-369	5.8
"T1-P25-16"	46.5	-46.64	-365.5	7.6
"T1-P25-17"	49.5	-45.85	-357.5	9.3
"T1-P25-18"	52.5	-44.99	-351.2	8.7
"T1-P25-19"	55.5	-42.03	-331.5	4.7
"T1-P25-20"	58.5	-42.09	-332.6	4.1
"T1-P25-21"	61.5	-42.33	-334	4.6
"T1-P25-22"	64.5	-42.53	-334.2	6
"T1-P25-23"	67.5	-42.36	-330.3	8.5
"T1-P25-24"	70.5	-41.62	-324.2	8.8
"T1-P25-25"	73.5	-40.95	-320.6	7.1
"T1-P25-26"	76.5	-42.62	-337.3	3.7
"T1-P25-27"	79.5	-44.49	-350.2	5.7
"T1-P25-28"	82.5	-43.14	-334.6	10.5
"T1-P25-29"	85.5	-42.06	-322.9	13.6
"T1-P25-30"	88.5	-41.47	-320.3	11.4
"T1-P25-31"	91.5	-41.35	-321.3	9.5
"T1-P25-32"	94.5	-40.55	-315.7	8.6
"T1-P25-33"	97.5	-38.85	-303.9	6.9
"T1-P25-34"	100.5	-38.88	-303.4	7.6
"T1-P25-35"	103.5	-39.47	-307.7	8.1
"T1-P25-36"	106.5	-41.46	-324.9	6.8
"T1-P25-37"	109.5	-44.08	-347.8	4.8
"T1-P25-38"	112.5	-46.21	-364.9	4.9
