"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P36-01"	1.5	-43.07	-348.4	-3.9
"T1-P36-02"	4.5	-48.52	-382.3	5.9
"T1-P36-03"	7.5	-49.04	-384.8	7.5
"T1-P36-04"	10.5	-48.96	-385	6.7
"T1-P36-05"	13.5	-47.86	-378	4.9
"T1-P36-06"	16.5	-47.33	-375.7	2.9
"T1-P36-07"	19.5	-47.31	-375.4	3.1
"T1-P36-08"	22.5	-47.13	-368.8	8.2
"T1-P36-09"	25.5	-46.84	-364.9	9.8
"T1-P36-10"	28.5	-45.2	-350.8	10.8
"T1-P36-11"	31.5	-41.71	-330.2	3.5
"T1-P36-12"	34.5	-41.99	-339.5	-3.5
"T1-P36-13"	37.5	-43.57	-350.3	-1.7
"T1-P36-14"	40.5	-45.64	-363.1	2.1
"T1-P36-15"	43.5	-46.58	-367.7	5
"T1-P36-16"	46.5	-46.71	-366.8	6.9
"T1-P36-17"	49.5	-47.34	-370.4	8.4
"T1-P36-18"	52.5	-45.65	-355.3	9.9
"T1-P36-19"	55.5	-45.04	-351.3	9
"T1-P36-20"	58.5	-41.67	-329.5	3.9
"T1-P36-21"	61.5	-45.23	-363.5	-1.7
"T1-P36-22"	64.5	-49.01	-392.9	-0.9
"T1-P36-23"	67.5	-49.66	-392.8	4.5
"T1-P36-24"	70.5	-46.62	-366.6	6.4
"T1-P36-25"	73.5	-45.63	-360.1	4.9
"T1-P36-26"	76.5	-45.57	-357.4	7.1
"T1-P36-27"	79.5	-45.46	-355.3	8.3
"T1-P36-28"	82.5	-44.32	-342.5	12
"T1-P36-29"	85.5	-45.06	-348.2	12.4
"T1-P36-30"	88.5	-48.44	-378.6	8.9
"T1-P36-31"	91.5	-48.16	-377	8.3
"T1-P36-32"	94.5	-44.73	-348.6	9.3
"T1-P36-33"	97.5	-43.95	-344.4	7.1
"T1-P36-34"	100.5	-46.48	-366.7	5.1
"T1-P36-35"	103.5	-49.1	-385.8	7
"T1-P36-36"	106.5	-49.85	-391.2	7.6
"T1-P36-37"	109.5	-49.69	-390.2	7.3
"T1-P36-38"	112.5	-48	-377.8	6.2
