"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P06-01"	1.5			
"T1-P06-02"	4.5	-41.54	-334.5	-2.2
"T1-P06-03"	7.5	-43.47	-348.1	-0.4
"T1-P06-04"	10.5	-50.22	-393.8	7.9
"T1-P06-05"	13.5	-49.57	-386.6	10
"T1-P06-06"	16.5	-48.61	-382	6.8
"T1-P06-07"	19.5	-47.29	-374.2	4.1
"T1-P06-08"	22.5	-46.41	-362.2	9.1
"T1-P06-09"	25.5	-46.02	-358.1	10.1
"T1-P06-10"	28.5	-41.57	-324.8	7.7
"T1-P06-11"	31.5	-41.9	-334.8	0.4
"T1-P06-12"	34.5	-46.5	-368.8	3.2
"T1-P06-13"	37.5	-47.68	-375.5	6
"T1-P06-14"	40.5	-48.07	-377.6	6.9
"T1-P06-15"	43.5	-46.96	-368.7	7
"T1-P06-16"	46.5	-44.58	-347.7	8.9
"T1-P06-17"	49.5	-41.08	-319.9	8.7
"T1-P06-18"	52.5	-37.37	-293.4	5.5
"T1-P06-19"	55.5	-37.87	-298.9	4
"T1-P06-20"	58.5	-39.03	-308.9	3.3
"T1-P06-21"	61.5	-41.23	-324.6	5.2
"T1-P06-22"	64.5	-42.33	-330.1	8.5
"T1-P06-23"	67.5	-41.81	-322.6	11.9
"T1-P06-24"	70.5	-41.4	-323	8.2
"T1-P06-25"	73.5	-41.18	-320.6	8.8
"T1-P06-26"	76.5	-40.05	-310.2	10.2
"T1-P06-27"	79.5	-40.46	-310.5	13.2
"T1-P06-28"	82.5	-41.03	-313.3	14.9
"T1-P06-29"	85.5	-41.34	-316.4	14.3
"T1-P06-30"	88.5	-41.78	-321.9	12.4
"T1-P06-31"	91.5	-42.53	-332.3	7.9
"T1-P06-32"	94.5	-42.25	-330.7	7.3
"T1-P06-33"	97.5	-41.56	-328.9	3.7
"T1-P06-34"	100.5	-42.23	-336.7	1.2
"T1-P06-35"	103.5	-44.57	-354.4	2.1
"T1-P06-36"	106.5	-47.55	-375.7	4.6
"T1-P06-37"	109.5	-47	-367.4	8.6
"T1-P06-38"	112.5	-45.21	-351.4	10.2
