"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P04-01"	1.5			
"T1-P04-02"	4.5	-43.79	-352.9	-2.6
"T1-P04-03"	7.5	-48.86	-384.9	5.9
"T1-P04-04"	10.5	-49	-382	10
"T1-P04-05"	13.5	-49.27	-384.5	9.6
"T1-P04-06"	16.5	-48.65	-381.6	7.6
"T1-P04-07"	19.5	-47.05	-369.4	7
"T1-P04-08"	22.5	-46.6	-362.2	10.7
"T1-P04-09"	25.5	-45.43	-353.6	9.9
"T1-P04-10"	28.5	-39.57	-312.1	4.5
"T1-P04-11"	31.5	-44.13	-352.5	0.6
"T1-P04-12"	34.5	-46.74	-369.3	4.6
"T1-P04-13"	37.5	-48.51	-381.8	6.3
"T1-P04-14"	40.5	-48.78	-383.2	7
"T1-P04-15"	43.5	-47.06	-366.3	10.3
"T1-P04-16"	46.5	-43.96	-342.5	9.2
"T1-P04-17"	49.5	-39.17	-307.1	6.2
"T1-P04-18"	52.5	-38.65	-306.5	2.7
"T1-P04-19"	55.5	-41.7	-330.8	2.8
"T1-P04-20"	58.5	-44.21	-347.9	5.8
"T1-P04-21"	61.5	-44.37	-346.7	8.3
"T1-P04-22"	64.5	-42.55	-331.5	8.9
"T1-P04-23"	67.5	-42.09	-328.3	8.4
"T1-P04-24"	70.5	-41.67	-324.2	9.2
"T1-P04-25"	73.5	-40.19	-312.7	8.8
"T1-P04-26"	76.5	-40.05	-308.3	12.2
"T1-P04-27"	79.5	-40.07	-309.2	11.3
"T1-P04-28"	82.5	-41.09	-315.3	13.4
"T1-P04-29"	85.5	-41.34	-319.3	11.4
"T1-P04-30"	88.5	-42.3	-328.1	10.2
"T1-P04-31"	91.5	-42.63	-333.4	7.6
"T1-P04-32"	94.5	-41.39	-325.6	5.5
"T1-P04-33"	97.5	-41.9	-332.6	2.6
"T1-P04-34"	100.5	-44.21	-352.3	1.3
"T1-P04-35"	103.5	-47.31	-373.9	4.6
"T1-P04-36"	106.5	-48.59	-381.6	7.1
"T1-P04-37"	109.5	-46.3	-360.8	9.6
"T1-P04-38"	112.5	-44.47	-347.1	8.6
