"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P19-01"	1.5			
"T1-P19-02"	4.5			
"T1-P19-03"	7.5	-36.2	-296.1	-6.5
"T1-P19-04"	10.5	-38.5	-313.3	-5.3
"T1-P19-05"	13.5	-44	-348.8	3.2
"T1-P19-06"	16.5	-46.33	-368.4	2.2
"T1-P19-07"	19.5	-46.79	-371.9	2.4
"T1-P19-08"	22.5	-46.75	-372.7	1.4
"T1-P19-09"	25.5	-46.61	-370.1	2.8
"T1-P19-10"	28.5	-46.16	-361.2	8
"T1-P19-11"	31.5	-40.52	-311.9	12.3
"T1-P19-12"	34.5	-37.61	-293.4	7.5
"T1-P19-13"	37.5	-41.75	-330.5	3.5
"T1-P19-14"	40.5	-46.6	-367.4	5.4
"T1-P19-15"	43.5	-47.62	-375.4	5.6
"T1-P19-16"	46.5	-43.25	-337.5	8.5
"T1-P19-17"	49.5	-40.8	-318.6	7.8
"T1-P19-18"	52.5	-41.94	-329.5	6
"T1-P19-19"	55.5	-43.21	-342.8	2.9
"T1-P19-20"	58.5	-43.16	-345.7	-0.4
"T1-P19-21"	61.5	-46.2	-369.8	-0.2
"T1-P19-22"	64.5	-47.36	-378.1	0.8
"T1-P19-23"	67.5	-46.91	-369.6	5.7
"T1-P19-24"	70.5	-44.97	-349.5	10.2
"T1-P19-25"	73.5	-44.2	-346.5	7.2
"T1-P19-26"	76.5	-43.48	-337.8	10
"T1-P19-27"	79.5	-42.11	-323.3	13.6
"T1-P19-28"	82.5	-41.59	-319.4	13.3
"T1-P19-29"	85.5	-42.02	-323.4	12.8
"T1-P19-30"	88.5	-43.26	-334.7	11.4
"T1-P19-31"	91.5	-43.71	-340.8	8.9
"T1-P19-32"	94.5	-42.89	-336.1	7
"T1-P19-33"	97.5	-41.05	-322.6	5.8
"T1-P19-34"	100.5	-41.77	-332.1	2
"T1-P19-35"	103.5	-44.68	-355.9	1.6
"T1-P19-36"	106.5	-46.58	-368.9	3.8
"T1-P19-37"	109.5	-47.65	-375.4	5.8
"T1-P19-38"	112.5	-47.8	-374.9	7.5
