"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-DUNE1-102"	287.777777777778	-47.06	-374.1	2.4
"T1-DUNE1-103"	290	-47.25	-374.9	3.1
"T1-DUNE1-104"	292.222222222222	-46.85	-370.7	4.1
"T1-DUNE1-105"	294.444444444444	-46.3	-365.8	4.6
"T1-DUNE1-106"	296.666666666667	-45.94	-363.2	4.3
"T1-DUNE1-107"	298.888888888889	-45.62	-361.6	3.3
"T1-DUNE1-108"	301.111111111111	-45.49	-360.6	3.3
"T1-DUNE1-109"	303.333333333333	-45.46	-360.4	3.3
"T1-DUNE1-110"	305.555555555556	-45.37	-358.7	4.2
"T1-DUNE1-111"	307.777777777778	-45.15	-356	5.2
"T1-DUNE1-112"	310	-44.99	-353.5	6.4
"T1-DUNE1-113"	312.222222222222	-44.83	-351.6	7
"T1-DUNE1-114"	314.444444444444	-44.84	-351.1	7.6
"T1-DUNE1-115"	316.666666666667	-45.31	-355.1	7.4
"T1-DUNE1-116"	318.888888888889	-46.3	-363.9	6.5
"T1-DUNE1-117"	321.111111111111	-47.28	-372.9	5.3
"T1-DUNE1-118"	323.333333333333	-47.37	-373.2	5.8
"T1-DUNE1-119"	325.555555555556	-46.54	-365.8	6.5
"T1-DUNE1-120"	327.777777777778	-44.9	-352.5	6.7
"T1-DUNE1-121"	330	-42.63	-334.2	6.9
"T1-DUNE1-122"	332.222222222222	-40.52	-317.8	6.4
"T1-DUNE1-123"	334.444444444444	-39	-306.7	5.3
"T1-DUNE1-124"	336.666666666667	-38.42	-302.7	4.6
"T1-DUNE1-125"	338.888888888889	-38.44	-303	4.5
